Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
premium-card-collection-best-selection-vol-6,"Premium Card Collection - Best Selection Vol. 6 - One Piece Card Game","<p>Expand your catalogue with the fantastic Premium Card Collection - Best Selection Vol. 6 from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-9328,500,shopify,deny,manual,36.55,43.86,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Premium Card Collection - Best Selection Vol. 6",active
double-pack-set-dp-12-8-sets-ingl-s,"Double Pack Set DP-12 (8 sets) Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Double Pack Set DP-12 (8 sets) Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-9167,500,shopify,deny,manual,46.27,55.52,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Double Pack Set DP-12 (8 sets) Inglés",active
booster-box-display-op-17-24-sobres-ingl-s,"Booster Box Display OP-17 (24 sobres) Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Booster Box Display OP-17 (24 sobres) Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-5280,500,shopify,deny,manual,39.71,47.65,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Booster Box Display OP-17 (24 sobres) Inglés",active
illustration-box-ib-07-ingl-s,"Illustration Box IB-07 Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Illustration Box IB-07 Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-5729,500,shopify,deny,manual,20.33,24.40,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Illustration Box IB-07 Inglés",active
illustration-box-ib-08-ingl-s,"Illustration Box IB-08 Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Illustration Box IB-08 Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-506,500,shopify,deny,manual,32.45,38.94,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Illustration Box IB-08 Inglés",active
mini-case-set-display-vol-3-ts-03-12-sets,"Mini Case Set Display Vol.3 TS-03 (12 Sets) - One Piece Card Game","<p>Expand your catalogue with the fantastic Mini Case Set Display Vol.3 TS-03 (12 Sets) from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-8779,500,shopify,deny,manual,48.11,57.73,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Mini Case Set Display Vol.3 TS-03 (12 Sets)",active
booster-box-display-op-16-24-sobres-ingl-s,"Booster Box Display OP-16 (24 Sobres) Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Booster Box Display OP-16 (24 Sobres) Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-5427,500,shopify,deny,manual,54.54,65.45,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Booster Box Display OP-16 (24 Sobres) Inglés",active
double-pack-set-display-dp-11-8-sets-ingl-s,"Double Pack Set Display DP-11 (8 Sets) Inglés - One Piece Card Game","<p>Expand your catalogue with the fantastic Double Pack Set Display DP-11 (8 Sets) Inglés from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-9180,500,shopify,deny,manual,18.70,22.44,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Double Pack Set Display DP-11 (8 Sets) Inglés",active
fundas-stores-edition-vol-7-12-unidades,"Fundas Stores Edition Vol.7 (12 unidades) - One Piece Card Game","<p>Expand your catalogue with the fantastic Fundas Stores Edition Vol.7 (12 unidades) from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-8586,500,shopify,deny,manual,18.50,22.20,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Fundas Stores Edition Vol.7 (12 unidades)",active
fundas-standard-4-dise-os-12-unidades,"Fundas Standard 4 diseños (12 unidades) - One Piece Card Game","<p>Expand your catalogue with the fantastic Fundas Standard 4 diseños (12 unidades) from the One Piece Card Game!</p><p>Get ready to play with your favorite characters.</p>",Bandai,Toys & Games > Toys > Collectible Trading Cards,Trading Card Games,"One Piece, TCG, Card Game, New Arrival",TRUE,Title,Default Title,OP-380,500,shopify,deny,manual,15.49,18.59,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,"Fundas Standard 4 diseños (12 unidades)",active
