Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text
caja-de-principiante-foundations-en-espa-ol,"Caja de Principiante Foundations en Español -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/62225-home_default/caja-de-principiante-foundations-en-espanol-magic-the-gathering.jpg","Caja de Principiante Foundations en Español -..."
beginner-box-foundations-ingl-s-magic-the,"Beginner Box Foundations Inglés - Magic the...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/62229-home_default/beginner-box-foundations-ingles-magic-the-gathering.jpg","Beginner Box Foundations Inglés - Magic the..."
bundle-tcg-teenage-mutant-ninja-turtles-ingl-s,"Bundle TCG Teenage Mutant Ninja Turtles Inglés...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96310-home_default/bundle-tcg-teenage-mutant-ninja-turtles-ingles-magic-the-gathering.jpg","Bundle TCG Teenage Mutant Ninja Turtles Inglés..."
draft-night-teenage-mutant-ninja-turtles-ingl-s,"Draft Night Teenage Mutant Ninja Turtles Inglés...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96330-home_default/draft-night-teenage-mutant-ninja-turtles-ingles-magic-the-gathering.jpg","Draft Night Teenage Mutant Ninja Turtles Inglés..."
bundle-tcg-marvel-super-heroes-ingl-s-magic,"Bundle TCG Marvel Super Heroes Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/100622-home_default/bundle-tcg-marvel-super-heroes-ingles-magic-the-gathering.jpg","Bundle TCG Marvel Super Heroes Inglés - Magic..."
draft-night-marvel-super-heroes-ingl-s-magic,"Draft Night Marvel Super Heroes Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/100021-home_default/draft-night-marvel-super-heroes-ingles-magic-the-gathering.jpg","Draft Night Marvel Super Heroes Inglés - Magic..."
beginner-box-marvel-super-heroes-ingl-s-magic,"Beginner Box Marvel Super Heroes Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/100618-home_default/beginner-box-marvel-super-heroes-ingles-magic-the-gathering.jpg","Beginner Box Marvel Super Heroes Inglés - Magic..."
beginner-box-marvel-super-heroes-espa-ol,"Beginner Box Marvel Super Heroes Español -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/100026-home_default/beginner-box-marvel-super-heroes-espanol-magic-the-gathering.jpg","Beginner Box Marvel Super Heroes Español -..."
bundle-gift-edition-marvel-super-heroes-ingl-s,"Bundle Gift Edition Marvel Super Heroes Inglés...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/100626-home_default/bundle-gift-edition-marvel-super-heroes-ingles-magic-the-gathering.jpg","Bundle Gift Edition Marvel Super Heroes Inglés..."
draft-night-secrets-of-strixhaven-ingl-s,"Draft Night Secrets of Strixhaven Inglés -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/99986-home_default/draft-night-secrets-of-strixhaven-ingles-magic-the-gathering.jpg","Draft Night Secrets of Strixhaven Inglés -..."
bundle-tcg-secrets-of-strixhaven-ingl-s-magic,"Bundle TCG Secrets of Strixhaven Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/99979-home_default/bundle-tcg-secrets-of-strixhaven-ingles-magic-the-gathering.jpg","Bundle TCG Secrets of Strixhaven Inglés - Magic..."
secret-lair-fallout-vault-33-ingl-s-magic-the,"Secret Lair Fallout Vault 33 Inglés - Magic The...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/99375-home_default/secret-lair-fallout-vault-33-ingles-magic-the-gathering.jpg","Secret Lair Fallout Vault 33 Inglés - Magic The..."
draft-night-lorwyn-eclipsado-ingl-s-magic-the,"Draft Night Lorwyn Eclipsado Inglés - Magic The...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/95826-home_default/draft-night-lorwyn-eclipsado-ingles-magic-the-gathering.jpg","Draft Night Lorwyn Eclipsado Inglés - Magic The..."
bundle-tcg-lorwyn-eclipsado-ingl-s-magic-the,"Bundle TCG  Lorwyn Eclipsado Inglés - Magic The...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/95823-home_default/bundle-tcg-lorwyn-eclipsado-ingles-magic-the-gathering.jpg","Bundle TCG  Lorwyn Eclipsado Inglés - Magic The..."
beginner-box-avatar-the-last-airbender-ingl-s,"Beginner Box Avatar: The Last Airbender Inglés...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/94217-home_default/beginner-box-avatar-the-last-airbender-ingles-magic-the-gathering.jpg","Beginner Box Avatar: The Last Airbender Inglés..."
secret-lair-the-last-of-us-part-i-ingl-s,"Secret Lair The Last of Us: Part I Inglés -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96643-home_default/secret-lair-the-last-of-us-part-i-ingles-magic-the-gathering.jpg","Secret Lair The Last of Us: Part I Inglés -..."
secret-lair-uncharted-ingl-s-magic-the-gathering,"Secret Lair Uncharted Inglés - Magic The Gathering","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96646-home_default/secret-lair-uncharted-ingles-magic-the-gathering.jpg","Secret Lair Uncharted Inglés - Magic The Gathering"
secret-lair-ghost-of-tsushima-ingl-s-magic,"Secret Lair Ghost of Tsushima Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96648-home_default/secret-lair-ghost-of-tsushima-ingles-magic-the-gathering.jpg","Secret Lair Ghost of Tsushima Inglés - Magic..."
secret-lair-god-of-war-greek-ingl-s-magic,"Secret Lair God of War: Greek Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96644-home_default/secret-lair-god-of-war-greek-ingles-magic-the-gathering.jpg","Secret Lair God of War: Greek Inglés - Magic..."
secret-lair-the-last-of-us-part-ii-ingl-s,"Secret Lair The Last of Us: Part II Inglés -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96645-home_default/secret-lair-the-last-of-us-part-ii-ingles-magic-the-gathering.jpg","Secret Lair The Last of Us: Part II Inglés -..."
secret-lair-into-the-forbidden-west-ingl-s,"Secret Lair Into the Forbidden West Inglés -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96649-home_default/secret-lair-into-the-forbidden-west-ingles-magic-the-gathering.jpg","Secret Lair Into the Forbidden West Inglés -..."
secret-lair-god-of-war-norse-ingl-s-magic,"Secret Lair God of War: Norse Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/96647-home_default/secret-lair-god-of-war-norse-ingles-magic-the-gathering.jpg","Secret Lair God of War: Norse Inglés - Magic..."
starter-collection-foundations-ingl-s-magic,"Starter Collection  Foundations Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/62222-home_default/starter-collection-foundations-ingles-magic-the-gathering.jpg","Starter Collection  Foundations Inglés - Magic..."
bundle-chocobo-final-fantasy-ingl-s-magic-the,"Bundle Chocobo Final Fantasy Inglés - Magic The...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/95782-home_default/bundle-chocobo-final-fantasy-ingles-magic-the-gathering.jpg","Bundle Chocobo Final Fantasy Inglés - Magic The..."
commander-display-4-mazos-doctor-who-en,"Commander Display (4 mazos) Doctor Who en...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/38401-home_default/commander-display-4-mazos-doctor-who-en-ingles-magic-the-gathering.jpg","Commander Display (4 mazos) Doctor Who en..."
beginner-box-avatar-the-last-airbender-espa-ol,"Beginner Box Avatar: The Last Airbender Español...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/94221-home_default/beginner-box-avatar-the-last-airbender-espanol-magic-the-gathering.jpg","Beginner Box Avatar: The Last Airbender Español..."
bundle-gift-edition-marvel-s-spider-man-ingl-s,"Bundle Gift Edition Marvel's Spider-Man Inglés...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/93599-home_default/bundle-gift-edition-marvel-s-spider-man-ingles-magic-the-gathering.jpg","Bundle Gift Edition Marvel's Spider-Man Inglés..."
bundle-tcg-marvel-s-spider-man-ingl-s-magic,"Bundle TCG  Marvel's Spider-Man Inglés - Magic...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/74943-home_default/bundle-tcg-marvel-s-spider-man-ingles-magic-the-gathering.jpg","Bundle TCG  Marvel's Spider-Man Inglés - Magic..."
starter-kit-1-unidad-final-fantasy-espa-ol,"Starter Kit (1 unidad) Final Fantasy Español -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/73941-home_default/starter-kit-1-unidad-final-fantasy-espanol-magic-the-gathering.jpg","Starter Kit (1 unidad) Final Fantasy Español -..."
starter-kit-1-unidad-final-fantasy-ingl-s,"Starter Kit (1 unidad) Final Fantasy Inglés -...","<p>Producto importado directamente de distribución. Edición oficial de Magic The Gathering.</p>","The Rare Box","TCG Magic","magic, tcg",TRUE,89.99,shopify,10,deny,manual,TRUE,TRUE,"https://tcgfactory.com/73933-home_default/starter-kit-1-unidad-final-fantasy-ingles-magic-the-gathering.jpg","Starter Kit (1 unidad) Final Fantasy Inglés -..."
